cost_type,metric,legacy_top,param_key,n,match,match_rounding,match_both_zero,minor,material,not_comparable,pct_setara_total,n_in_scope_orion,pct_setara_in_scope,n_out_of_scope,pct_setara_out_of_scope
SELLING,FIXED_TOTAL_KG,TOP91,TOTAL_FIXEDCOST_PER_KG,13422,0,3797,1,784,8840,0,34.1,1270,41.8,12152,33.3
SELLING,CAP_BEFORE_QLOSS,TOP94,CAPTIVE_COST_BEFORE_QLOSS,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,DEL_BEFORE_QLOSS,TOP95,DELIVERY_COST_BEFORE_QLOSS,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,CAP_WITH_QLOSS,TOP105,CAPTIVE_COST_QLTY_LOSS,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,DEL_WITH_QLOSS,TOP106,DELIVERY_COST_QLTY_LOSS,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,VB1_DEL_COST,TOP118,VOLUME_BUCKET_1_DEL_COST,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,VB2_DEL_COST,TOP119,VOLUME_BUCKET_2_DEL_COST,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,VB3_DEL_COST,TOP120,VOLUME_BUCKET_3_DEL_COST,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,VB4_DEL_COST,TOP121,VOLUME_BUCKET_4_DEL_COST,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,VB5_DEL_COST,TOP122,VOLUME_BUCKET_5_DEL_COST,13422,0,0,0,0,13422,0,0.0,1270,0.0,12152,0.0
SELLING,CAP_CONVERSION,TOP127,CAPTIVE_CONVERSION,13422,0,0,0,0,21,13401,0.0,1270,0.0,12152,0.0
SELLING,DEL_CONVERSION,TOP128,DELIVERY_CONVERSION,13422,0,0,0,0,21,13401,0.0,1270,0.0,12152,0.0
SELLING,OIL_COST,TOP61,OIL_COST,13422,0,0,2582,0,10689,151,19.2,1270,10.9,12152,20.1
SELLING,MB_COST,TOP73,MB_COST_MKT,13422,12,77,351,34,4268,8680,3.5,1270,6.8,12152,3.2
SELLING,CAP_PACK_COST,TOP42,CAPTIVE_PACK_COST,13422,0,33,165,0,13224,0,1.5,1270,1.3,12152,1.5
SELLING,DEL_PACK_COST,TOP48,DELIVERY_PACK_COST,13422,0,10,165,1,13246,0,1.3,1270,0.9,12152,1.4
