left_no,cyl_sys_id,legacy_name,legacy_type,new_product_code,cost_type,in_orion_scope,final_metric,final_status,cause_layer,cause_note,legacy_final,new_final,rm_rate_L,rm_rate_N,rm_landed_L,rm_landed_N,waste_L,waste_N,rm_norm_L,rm_norm_N,fixed_total_L,fixed_total_N,cap_pack_L,cap_pack_N,oil_L,oil_N,mb_cost_L,mb_cost_N,legacy_modified
1,20211003143,POY 380/144/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606002041,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3803,1.2917127899225282,.9974,1.08382,1.0224,1.08382,.02,0.02,1.0058,1.0061,.1627,0.16264030643065203,.0078,0.015309942682967235,.0144,0.01307955,.1579,0.15890896999999998,2026-08-02
10,20211003152,POY 380/144/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606002049,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3894,1.2776047534466892,1.0131,1.08382,1.0269,1.08382,.02,0.02,.9917,0.993,.1434,0.16264030643065203,.0078,0.015511916750587449,.0205,0.01307955,.1966,0.16162470000000004,2022-12-01
100,20211003242,TTY 480/288-120/TBL/DBR/NI/ACDH/SN/1/S,TTY,CSTTTY2606000262,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8393,1.1300197106427026,1.6919,1,1.6919,1,.002,0.002,1.002,1.002,.0843,0.10070477843915344,.0301,0.01501996007984032,0,0,,,2023-08-03
1000,20211002873,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000317,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3303,1.365694311643281,1.9791,1,1.9791,1,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-01
10000,20250401000000000000002178034,TCM 2660/4032-160/RND/DSD/LIM/MDH/T5/1/Z/CITRA-A,MEEREBAH,CSTTCM2606000012,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9502,1.2105048266326477,1.6786,1,1.6786,1,.008,0.008,1.008,1.008,.168,0.16968735880044475,.02,0.02500000000000001,0,0,,,2026-03-03
10001,20250401000000000000002178161,TCM 2660/4032-160/RND/DBR/LIM/MDH/T5/1/Z/CITRA-A,MEEREBAH,CSTTCM2606000004,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.6016,1.2105048266326477,2.3003,1,2.3003,1,.008,0.008,1.008,1.008,.1711,0.16968735880044475,.029,0.02500000000000001,0,0,,,2026-09-02
10002,20250401000000000000002178288,PTY 75/72/RND/SD/SIM/DH/N/1/Z,PTY BO,CSTPTY2606001202,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6492,1.5492359250048489,1.056,0.929603,1.056,0.929603,.007,0.007,1.007,1.007,.5188,0.522923938336242,.0226,0.010363816917938072,.0298,0.03374,,,2025-04-02
10003,20250401000000000000002178415,PTY 75/36/RND/RSD/NI/DH/N/1/S,PTY,CSTPTY2606004823,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.4635,1.6754981723396467,1.5934,1,1.5934,1,.0075,0.0075,1.0075,1.0075,.6043,0.6136926096603514,.0153,0.008216636098824037,.0256,0.028679,,,2026-07-01
10004,20250401000000000000002178542,PTY 150/36/RND/RSD/NI/DH/N/1/S,PTY,CSTPTY2606004821,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6917,1.3437866439508528,1.3671,1,1.3671,1,.006,0.006,1.006,1.006,.2865,0.2848583877995643,.0131,0.010286109430374276,.0255,0.028679,,,2026-07-01
10005,20250401000000000000002169097,POY 245/144/RND/RDSD/SIM/NS/1/O,POY,CSTPOY2606003524,ACTUAL,Y,CAP_WITH_QLOSS,differ,PARAMETER_NORM,RM norm berbeda (turunan waste/dozing),1.5011,1.3816126413451724,1.0419,1.07312,1.0731,1.07312,.035,0.035,.9993,1.014,.2556,0.25557762439102455,.0078,0.015035657260931987,.014,0.0118905,.1332,0.08404410000000002,2026-09-01
10006,20250401000000000000002178669,PTY 150/144/RND/RSD/NI/GTDH/N/1/Z,PTY,CSTPTY2606002478,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6465,1.3726263155633327,1.3021,1,1.3021,1,.006,0.006,1.006,1.006,.2995,0.3052054154995331,.0211,0.010044083326130175,.0331,0.037114,,,2026-01-02
10007,20250401000000000000002178796,PTY 150/144/RND/RSD/NI/GTDH/N/2/ZZ,PTY,CSTPTY2606002479,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7975,1.4567381534803177,1.3584,1,1.3584,1,.006,0.006,1.006,1.006,.394,0.38844325609031494,.0211,0.010044083326130175,.0328,0.037114,,,2025-04-01
10008,20250401000000000000002178923,POY 262/36/RND/RSD-FR/SIM/NS/1/O,POY,CSTPOY2606003526,ACTUAL,N,CAP_WITH_QLOSS,differ,PARAMETER_NORM,RM norm berbeda (turunan waste/dozing),3.0954,1.6352833575877173,1.4427,1.44279,1.4428,1.44279,.05,0.05,.9345,0.9400000000000001,.2166,0.23899434341908787,.0078,0.016386524822695037,.0114,0.01070145,1.4685,1.385494,2026-03-02
10009,20250401000000000000002179051,POY 265/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001563,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3775,1.3180658287526705,.829,1.054714,.8428,1.054714,.012,0.012,.9923,0.992,.2141,0.23628874707849443,.0078,0.01552755376344086,.0103,0.009512399999999999,.3028,0.32461799999999996,2025-04-02
1001,20211002874,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000318,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0874,1.365694311643281,1.7445,1,1.7445,1,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-01
10010,20250401000000000000002179179,POY 285/144/RND/RSD-FR/SIM/NS/1/O,POY,CSTPOY2606003525,ACTUAL,N,CAP_WITH_QLOSS,differ,PARAMETER_NORM,RM norm berbeda (turunan waste/dozing),3.1388,1.6151676082332092,1.4427,1.44279,1.4427,1.44279,.05,0.05,.924,0.9400000000000001,.1991,0.21970708061684568,.0078,0.01571768707482993,.0119,0.01070145,1.5462,1.385494,2025-07-02
10011,20250401000000000000002179307,PTY 300/96/RND/BR/LIM/LSDH/N/4/SSSS,PTY,CSTPTY2606002485,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.2707,1.3299317648924165,.9723,1,.9723,1,.007,0.007,1.007,1.007,.2411,0.2373819898329702,.0216,0.010616592940326805,.0331,0.037114,,,2025-08-01
1002,20211002875,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000319,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1034,1.365694311643281,1.7599,1,1.7599,1,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-01
1003,20220948779,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606000558,ACTUAL,N,CAP_WITH_QLOSS,na,TIDAK_BISA_DIBANDINGKAN,,,1.3136558870424289,,1.054714,,1.054714,.012,0.012,,0.977,,0.247496118481427,,0.01576595018764927,,0.009512399999999999,,0.417039,2022-12-01
1004,20211002876,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000320,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.619,1.365694311643281,1.3174,1,1.3174,1,.01,0.01,1.01,1.01,.2616,0.29468109082713545,.022,0.009040034438226431,.038,0.037114,,,2022-12-01
1005,20211002877,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000321,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7482,1.365694311643281,1.4422,1,1.4422,1,.01,0.01,1.01,1.01,.2616,0.29468109082713545,.022,0.009040034438226431,.038,0.037114,,,2022-12-01
10051,20250927000000000000002488238,PTY 3200/864/RND/SD/HIM/DH/N/1/S,COPS WNDR (PLY),CSTPTY2606002838,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5655,2.1284836296447867,1.4331,2,1.4331,2,.007,0.007,1.007,1.007,.013,0.012966579861111112,.0156,0.01140019860973188,0,0,,,2026-07-01
10052,20250927000000000000002488365,PTY 9600/2592/RND/SD/HIM/DH/N/1/S,PLY,CSTPTY2606002837,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6493,2.046478075946673,1.5655,2,1.5655,2,.004,0.004,1.004,1.004,.0081,0.008005897671568627,.0176,0.017255976095617534,0,0,,,2026-07-01
10053,20250927000000000000002486473,TTY 9600/2592-40/RND/SD/HIM/DH/N/1/S,TTY,CSTTTY2606000323,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7426,2.0625562449416646,1.6493,2,1.6493,2,.002,0.002,1.002,1.002,.0295,0.029517646705146703,.0186,0.0157185628742515,0,0,,,2026-07-01
1006,20211002878,PTY 160/48/RND/DSD/HIM/LTDH/N/1/Z,PTY,CSTPTY2606001326,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7162,1.4172928475812296,1.3157,1,1.3157,1,.007,0.007,1.007,1.007,.2856,0.28613007703081234,.021,0.008689175769612712,.0283,0.032053,,,2025-04-01
1007,20211002879,PTY 160/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000944,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8027,1.3389517070462846,1.472,1,1.472,1,.007,0.007,1.007,1.007,.2782,0.2762635226504395,.0139,0.00906696602046544,.0286,0.032053,,,2026-09-01
10074,20250601000000000000002259718,TCY 600/144-80/RND/SD/LIM/DH/N/1/S,TTY,CSTTCY2606000022,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.452,1.1611966112774452,1.2756,1,1.2756,1,.002,0.002,1.002,1.002,.1241,0.12916666666666665,.034,0.017964071856287428,0,0,,,2025-08-01
1008,20211002880,PTY 200/192/RND/FSD/SIM/DH/N/1/Z,PTY,CSTPTY2606002028,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.963,1.364229714274558,1.6061,1,1.6061,1,.007,0.007,1.007,1.007,.2747,0.2728298808710828,.0142,0.009858264873160603,.0271,0.030366,,,2026-09-01
10084,20250630000000000000002304953,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001144,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.2389,1.3325051229838512,.9055,1.054714,.918,1.054714,.012,0.012,.9948,0.995,.2475,0.247496118481427,.0078,0.015480737018425462,.0102,0.009512399999999999,.0538,0.061910599999999996,2026-05-02
10087,20250630000000000000002305081,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001147,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.1594,1.3276871019679073,.789,1.054714,.8028,1.054714,.012,0.012,.9901,0.9904000000000001,.2243,0.247496118481427,.0078,0.015552638664512656,.0102,0.009512399999999999,.1203,0.14421240000000002,2025-07-01
10088,20250630000000000000002305209,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001148,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.1535,1.3147027891861371,.8144,1.054714,.8282,1.054714,.012,0.012,.9776,0.978,.2243,0.247496118481427,.0078,0.015749829584185415,.01,0.009512399999999999,.098,0.13787,2025-10-01
10089,20250630000000000000002308920,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000713,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.564,1.365694311643281,1.2389,1,1.2389,1,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-05-02
1009,20211002881,PTY 150/48/RND/DSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000001,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8323,1.4340615001925705,1.4332,1,1.4332,1,.01,0.01,1.01,1.01,.29,0.29468109082713545,.0133,0.008663366336633664,.0332,0.037114,,,2026-09-01
10092,20250630000000000000002309047,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000716,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4887,1.365694311643281,1.1594,1,1.1594,1,.01,0.01,1.01,1.01,.2942,0.29468109082713545,.022,0.009040034438226431,.0332,0.037114,,,2025-07-01
10093,20250630000000000000002309174,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000717,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4851,1.365694311643281,1.1535,1,1.1535,1,.01,0.01,1.01,1.01,.2942,0.29468109082713545,.022,0.009040034438226431,.0332,0.037114,,,2025-10-01
10094,20250630000000000000002309301,PTY 150/48/RND/DSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000196,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5555,1.4340615001925705,1.1594,1,1.1594,1,.01,0.01,1.01,1.01,.2924,0.29468109082713545,.021,0.008663366336633664,.0332,0.037114,,,2025-07-01
10099,20250429000000000000002199549,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001149,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.1565,1.3267445245011815,.8144,1.054714,.8282,1.054714,.012,0.012,.9892,0.9895,.2243,0.247496118481427,.0078,0.015566784571332324,.01,0.009512399999999999,.0913,0.12414824999999999,2025-10-01
101,20211003243,POY 380/144/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606002070,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.2581,1.2934362716176164,1.0131,1.08382,1.0269,1.08382,.02,0.02,1.0075,1.0077,.1434,0.16264030643065203,.0078,0.015285633951903676,.0205,0.01307955,.0517,0.04770186,2022-12-01
1010,20211002882,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004005,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5766,1.3452675373687848,1.2294,1,1.2294,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
10100,20250430000000000000002205815,POY 260/36/RND/BSD/SIM/NS/1/O,POY,CSTPOY2606001518,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3461,1.3103715402656548,1.0193,1.054714,1.0381,1.054714,.012,0.012,.9759,0.9792000000000001,.2408,0.24083276144538854,.0078,0.015730528322440086,.0109,0.00998802,.065,0.07687008,2026-08-02
10101,20250430000000000000002205943,POY 250/72/RND/DSD/SIM/NS/2/O,POY,CSTPOY2606003241,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.1679,1.3460720374738013,.8134,1.054714,.8271,1.054714,.025,0.025,.999,1.0052999999999999,.2258,0.24906136580009158,.0078,0.015322126065187841,.0113,0.01070145,.0927,0.09282639999999999,2025-09-01
10103,20250429000000000000002199677,PTY 150/48/RND/DSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000197,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5551,1.4340615001925705,1.1565,1,1.1565,1,.01,0.01,1.01,1.01,.2924,0.29468109082713545,.021,0.008663366336633664,.0332,0.037114,,,2025-10-01
10104,20250430000000000000002206071,PTY 150/48/RND/DSD/SIM/DH/N/2/SZ,PTY,CSTPTY2606000862,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5134,1.4047141914154282,1.1523,1,1.1523,1,.007,0.007,1.007,1.007,.2984,0.3052054154995331,.0229,0.010111040895549341,.0328,0.037114,,,2025-05-01
10106,20250430000000000000002206198,PTY 150/48/RND/DSD/SIM/DH/N/2/SZ,PTY,CSTPTY2606000863,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5556,1.4047141914154282,1.194,1,1.194,1,.007,0.007,1.007,1.007,.2984,0.3052054154995331,.0221,0.010111040895549341,.0328,0.037114,,,2025-05-01
10107,20250430000000000000002206325,PTY 150/36/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606003133,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5973,1.3575718684729243,1.2834,1,1.2834,1,.007,0.007,1.007,1.007,.2781,0.29468109082713545,.0226,0.00906696602046544,.0283,0.032053,,,2025-05-01
1011,20211002883,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004004,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5753,1.3452675373687848,1.2281,1,1.2281,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
10110,20250430000000000000002206452,PTY 300/96/TBL/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606001797,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.2756,1.2552422114729656,1.039,1,1.039,1,.007,0.007,1.007,1.007,.2019,0.19422162804515747,.0307,0.010155001942921292,.0283,0.032053,,,2025-05-01
10113,20250430000000000000002206579,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001150,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.1574,1.3218225989431904,.8077,1.054714,.8215,1.054714,.012,0.012,.9845,0.9848,.2243,0.247496118481427,.0078,0.01564107771459518,.0104,0.009512399999999999,.1042,0.14177456000000002,2025-06-01
10114,20250430000000000000002206707,POY 250/48/RND/OSD/SIM/NS/1/O,POY,CSTPOY2606001467,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.0827,1.330022265306949,.7778,1.054714,.7903,1.054714,.012,0.012,.9918,0.992,.2243,0.247496118481427,.0078,0.01552755376344086,.0097,0.009512399999999999,.0538,0.078622,2026-03-02
10115,20250430000000000000002206835,POY 380/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606003336,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.0733,1.2535272339696897,.8304,1.054714,.8442,1.054714,.016,0.016,.9989,0.9992,.1493,0.1647803104626343,.0078,0.015415665866026156,.0104,0.009512399999999999,.0623,0.0791616,2025-05-02
10116,20250430000000000000002206963,PTY 150/48/RND/DSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000198,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8002,1.4340615001925705,1.4021,1,1.4021,1,.01,0.01,1.01,1.01,.29,0.29468109082713545,.0133,0.008663366336633664,.0332,0.037114,,,2026-08-02
10118,20250430000000000000002207217,PTY 150/48/RND/OSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000885,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4957,1.420186048801255,1.0827,1,1.0827,1,.007,0.007,1.007,1.007,.2976,0.2931136382163528,.0215,0.008341608738828206,.0271,0.030366,,,2026-03-02
10119,20250430000000000000002207344,PTY 150/48/RND/OSD/NI/DH/N/1/Z,PTY,CSTPTY2606000895,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4789,1.365267416811243,1.1379,1,1.1379,1,.01,0.01,1.01,1.01,.2958,0.2962653977670663,.0218,0.009040034438226431,.0329,0.037114,,,2025-05-02
1012,20211002884,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004003,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6226,1.3452675373687848,1.2731,1,1.2731,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
10120,20250428000000000000002198909,PTY 150/48/RND/DSD/LIM/DH/N/1/Z,PTY,CSTPTY2606001769,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6845,1.390373742316783,1.3242,1,1.3242,1,.01,0.01,1.01,1.01,.2942,0.29468109082713545,.0229,0.009450945094509453,.0329,0.037114,,,2025-05-01
10125,20250430000000000000002207471,PTY 150/48/RND/DSD/HIM/DH/N/2/SZ,PTY,CSTPTY2606001919,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6735,1.469021093717456,1.2622,1,1.2622,1,.01,0.01,1.01,1.01,.3047,0.32868275515334344,.0203,0.009240924092409241,.0329,0.037114,,,2025-05-01
10126,20250430000000000000002207598,PTY 150/36/TBL/DBR/IM/DH/N/1/Z,PTY,CSTPTY2606004751,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.532,1.4376191435128376,1.1307,1,1.1307,1,.007,0.007,1.007,1.007,.315,0.3165093197772936,.0218,0.00906696602046544,.0328,0.037114,,,2025-05-01
1013,20211002885,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004002,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5932,1.3452675373687848,1.2452,1,1.2452,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
10130,20250430000000000000002207725,PTY 150/144/RND/SD/LIM/DH/DP/3/ZSZ,PTY,CSTPTY2606002920,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.502,1.4539390797216072,1.0712,1,1.0712,1,.006,0.006,1.006,1.006,.34,0.34861595889082797,.048,0.023101391650099404,.033,0.037114,,,2026-03-03
10131,20250430000000000000002207852,PTY 480/288/TBL/DBR/IM/DH/N/1/S,PTY,CSTPTY2606003726,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3782,1.3047790047177819,1.1352,1,1.1352,1,.008,0.008,1.008,1.008,.163,0.15965228935777206,.02,0.009837962962962965,.0448,0.05061,,,2025-05-01
10139,20250530000000000000002243484,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606001151,ACTUAL,Y,CAP_WITH_QLOSS,differ,PACKING,biaya packing berbeda,1.4011,1.3319813925692363,1.036,1.054714,1.0547,1.054714,.012,0.012,.9943,0.9945,.2475,0.247496118481427,.0078,0.015488520194402548,.0109,0.009512399999999999,.0766,0.07875,2026-09-01
1014,20211002886,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004001,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6939,1.3452675373687848,1.3411,1,1.3411,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
10140,20250530000000000000002243612,PTY 150/48/RND/DSD/HIM/DH/N/1/Z,PTY,CSTPTY2606000199,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7991,1.4340615001925705,1.4011,1,1.4011,1,.01,0.01,1.01,1.01,.29,0.29468109082713545,.0133,0.008663366336633664,.0332,0.037114,,,2026-09-01
10148,20250430000000000000002208106,POY 250/36/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606000342,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.2468,1.3158544198819782,.8304,1.054714,.8442,1.054714,.02,0.015,.9864,0.9790999999999999,.2243,0.247496118481427,.0078,0.015732134953869204,.0104,0.009512399999999999,.168,0.22016751999999998,2025-05-01
10149,20250430000000000000002208234,POY 130/36/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606002322,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4698,1.5416026172507507,.8077,1.054714,.8215,1.054714,.007,0.007,.9728,0.9799999999999999,.4264,0.47051786876916907,.0078,0.015717687074829935,.0104,0.009512399999999999,.218,0.19265850000000004,2025-06-01
1015,20211002887,PTY 600/288/RND/DBR/SIM/ACDH/ST/1/Z,PTY,CSTPTY2606004000,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.677,1.3452675373687848,1.325,1,1.325,1,.02,0.015,1.02,1.015,.2245,0.22444600499375783,.064,0.03448275862068966,.0297,0.028679,,,2022-12-01
