left_no,cyl_sys_id,legacy_name,legacy_type,new_product_code,cost_type,in_orion_scope,final_metric,final_status,cause_layer,cause_note,legacy_final,new_final,rm_rate_L,rm_rate_N,rm_landed_L,rm_landed_N,waste_L,waste_N,rm_norm_L,rm_norm_N,fixed_total_L,fixed_total_N,cap_pack_L,cap_pack_N,oil_L,oil_N,mb_cost_L,mb_cost_N,legacy_modified
5381,2023090286413,PTY 190/288/RND/DBR/NIM/SH/N/1/ZCOPS,COPS WNDR (PLY),CSTPTY2606005261,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1464,0.0629684472971407,2.0754,0,2.0754,0,.004,0.004,1.004,1.004,.0487,0.04843165336309962,.014,0.013944223107569723,0,0,,,2026-09-06
5382,2023090286414,PTY 380/576-370/RND/DBR/NI/DH/N/1/S,PT (TTY),CSTPTY2606005138,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3259,0.17513730530912053,2.1464,0,2.1464,0,.002,0.002,1.002,1.002,.1738,0.17348915830522094,0,0,0,0,,,2026-09-06
5383,2023090587093,PTY 150/48/RND/DSD/NI/DH/N/1/Z-GRADEBB-120POSS,PTY,CSTPTY2606005703,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0269,0.33058848386755196,1.6984,0,1.6984,0,.01,0.01,1.01,1.01,.2781,0.2808375420875421,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-06
5384,2023090587094,PTY 150/48/RND/SD/NI/DH/N/1/Z-TMT288POSS,PTY,CSTPTY2606005702,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7187,0.25721785316963525,1.4781,0,1.4781,0,.006,0.006,1.006,1.006,.2025,0.20664671661793374,.013,0.010407122482496329,.033,0.037114,,,2026-09-06
5385,2023090588362,PTY 165/72/RND/DSD/LIM/SH/N/2/SZ,PTY,CSTPTY2606003754,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9904,0.38178625434861435,1.6123,0,1.6123,0,.008,0.008,1.008,1.008,.3082,0.31042260208926875,.0142,0.00946969696969697,.0301,0.03374,,,2026-09-06
5386,2023090688906,PTY 300/96/RND/SD-FR/NIM/SH/N/1/S,PTY,CSTPTY2606005672,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.8903,0.2581503627427536,2.5853,0,2.5853,0,.008,0.008,1.008,1.008,.2189,0.21712711352657005,.0132,0.009661835748792272,.0256,0.028679,,,2026-09-06
5387,2023090689204,PTY 165/72/RND/DSD/LIM/SH/N/2/SZ,PTY,CSTPTY2606003753,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0578,0.38178625434861435,1.6775,0,1.6775,0,.008,0.008,1.008,1.008,.3082,0.31042260208926875,.0142,0.00946969696969697,.0301,0.03374,,,2026-09-06
5388,2023090690250,ATY 1800/720/RND/DBR/NIM/DH/N/1/Z,ATY,CSTATY2606000117,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8734,0.2091742268180848,1.5123,0,1.5123,0,.01,0.01,1.01,1.01,.0862,0.08530815972222223,.0167,0.013091309130913093,0,0,,,2026-09-06
5389,2023090690251,ATY 1800/720/RND/DBR/NIM/DH/N/1/Z,ATY,CSTATY2606000116,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0037,0.2094086102125774,1.6246,0,1.6246,0,.01,0.01,1.01,1.01,.0862,0.08530815972222223,.0167,0.013091309130913093,0,0,,,2026-09-06
539,20210900677,PTY 300/144/RND/BBR/SIM/DH/ST/2/ZZ,PTY,CSTPTY2606003962,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7829,0.3167062554075952,1.4345,0,1.4345,0,.02,0.02,1.02,1.02,.2342,0.2296056832694764,.0186,0.015441176470588238,.0259,0.028679,,,2026-09-06
5390,2023090690252,ATY 1800/720/RND/DBR/NIM/DH/N/1/Z,ATY,CSTATY2606000115,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1896,0.20974291494893257,1.7846,0,1.7846,0,.01,0.01,1.01,1.01,.0862,0.08530815972222223,.0167,0.013091309130913093,0,0,,,2026-09-06
5391,2023090690995,POY 120/36/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606003255,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8264,0.5374207266936696,1.192,0,1.217,0,.0075,0.0075,.985,0.9875,.508,0.5080447705947345,.0078,0.015598312236286922,.0109,0.009512399999999999,.0831,0.07606,2026-09-05
5392,2023090690996,PTY 150/48/TBL/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606003144,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9962,0.4194439884153467,1.5681,0,1.5681,0,.007,0.007,1.007,1.007,.3805,0.3699202674897119,.0143,0.008462501619101078,.0331,0.037114,,,2026-09-06
5393,2023090690997,PTY 150/48/TBL/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606003143,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9901,0.4194439884153467,1.5622,0,1.5622,0,.007,0.007,1.007,1.007,.3805,0.3699202674897119,.0143,0.008462501619101078,.0331,0.037114,,,2026-09-06
5394,2023090690998,PTY 75/36/TBL/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606004517,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),3.4608,1.4063370081990034,1.8264,0,1.8264,0,.006,0.006,1.006,1.006,1.3314,1.3542843691148774,.0256,0.010139165009940358,.0255,0.028679,,,2026-09-06
5395,2023090793379,TTY 150/72-120/RND/SD/NI/DH/N/1/S,TTY,CSTTTY2606000725,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0645,0.23621471642382832,1.8009,0,1.8009,0,.002,0.002,1.002,1.002,.2148,0.2187402738873327,.0184,0.01501996007984032,0,0,,,2026-09-06
5396,2023090793380,TTY 150/72-120/RND/SD/NI/ACDH/DP/1/S,TTY,CSTTTY2606000726,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1027,0.2453213182202355,1.8009,0,1.8009,0,.002,0.002,1.002,1.002,.2148,0.2187402738873327,.0294,0.02403193612774451,0,0,,,2026-09-06
5397,2023090793381,TTY 100/36-120/RND/SD/NI/DH/N/1/S,TTY,CSTTTY2606000724,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3713,0.295285462745878,2.0658,0,2.0658,0,.002,0.002,1.002,1.002,.2555,0.27545071526553006,.018,0.016766467065868266,0,0,,,2026-09-06
5398,2023090793382,TTY 100/36-120/RND/SD/NI/ACDH/DP/1/S,TTY,CSTTTY2606000723,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3822,0.30545097172791397,2.0658,0,2.0658,0,.002,0.002,1.002,1.002,.2555,0.27545071526553006,.0287,0.02682634730538922,0,0,,,2026-09-06
