fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606003659,PTY,PTY 300/144/TBL/BR/LIM/DH/N/4/2Z2S,32003,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004374,PTY,PTY 300/144/TBL/BR/LIM/SH/N/3/SSS,32718,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005713,PTY,PTY 300/144/TBL/BR/NIM/DH/N/4/2Z2S,33770,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606002542,PTY,PTY 300/144/TBL/BR/NI/SH/N/1/Z,10429,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004788,PTY,PTY 300/144/TBL/BR/LIM/SH/N/4/SSSS,33132,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606006341,PTY,PTY 300/144/TBL/BR/SIM/LTDH/N/3/SSS,34406,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004510,PTY,PTY 300/144/TBL/BR/NI/SH/N/1/S,32854,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005740,PTY,PTY 300/144/TBL/BR/LIM/SH/N/2/SZ,33797,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005737,PTY,PTY 300/144/TBL/BR/LIM/ACDH/N/2/SS,33794,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005901,PTY,PTY 300/144/TBL/BR/NI/LTDH/N/1/Z,33966,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005902,PTY,PTY 300/144/TBL/BR/HIM/SH/N/3/SSS,33967,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005929,PTY,PTY 300/144/TBL/BR/SIM/DH/N/1/Z,33994,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005070,PTY,PTY 300/144/TBL/BR/LIM/SH/N/2/SS,33566,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
