mbs_oracle_sys_id,spin_name,mbs_ldr_calculated_pct,mbs_run_ldr_pct,adjustment_yang_diusulkan
202104292,GLADSOME BR,1.6700,1.7700,0.1000
202104293,CAFE LEON,3.6500,3.7000,0.0500
202104295,EVEREST BLUE,1.0800,1.1000,0.0200
202104300,BEIGE,1.4800,1.2500,-0.2300
202104301,APRICOT,1.4800,3.1500,1.6700
202104302,BEIGE BR,1.4800,1.5600,0.0800
202104303,DANIAL BG BR,1.4800,2.0000,0.5200
202104306,GOLDEN YELLOW HBR,1.1300,1.2700,0.1400
202104307,EARTH,1.9200,1.8600,-0.0600
202104308,GREY BR,1.7800,1.2800,-0.5000
202104309,PAPYRUS GREY BR,1.7800,1.0000,-0.7800
202104310,DAHYUN GY BR,1.7800,1.1000,-0.6800
202104311,PEGION GREY BR,1.7800,3.1800,1.4000
202104312,GREY,1.7800,1.3000,-0.4800
202104313,SPANISH CREAM,1.0200,0.9400,-0.0800
202104314,SPANISH CREAM BR,1.0200,1.3500,0.3300
202104315,PEARL CREAM,1.0200,2.9000,1.8800
202104318,COBALT BLUE BR,3.6500,3.6400,-0.0100
202104319,CHEDDAR YELLOW BR,3.2500,3.2400,-0.0100
202104320,SPINACH GREEN BR,3.4500,3.0000,-0.4500
202104321,AREIA CREAM,2.0300,1.9300,-0.1000
202104324,ARMOR GREY BR,1.2000,2.0000,0.8000
202104332,BOSSA MAROON BR,3.5000,3.6000,0.1000
202104334,GRIS GRAY,1.2500,1.2200,-0.0300
202104351,LARK BEIGE,1.4700,1.5200,0.0500
202104352,CLUB BROWN,1.9600,2.1000,0.1400
202104355,GOLD BR,0.6000,0.7000,0.1000
202104356,RING,0.6000,0.9400,0.3400
202104357,SHINE PURPLE BR,1.5400,1.5800,0.0400
202104358,DARK BLUE,3.3500,3.5800,0.2300
202104359,PLATINUM GRAY,1.8200,1.8500,0.0300
202104361,LEAD GREY,1.1100,1.0500,-0.0600
202104362,FOAM GREEN,1.3100,1.2800,-0.0300
202104364,GLORY RED,3.5000,3.1700,-0.3300
202104365,INCA BEIGE,1.4900,1.4500,-0.0400
202104367,SEAWEED GREEN BR,1.0900,0.9500,-0.1400
202104368,MULTI BLUE BR,1.5000,1.8900,0.3900
202104370,SISAL BEIGE BR,0.6500,0.6800,0.0300
202104373,GRENADINE RED BR,1.8300,1.9000,0.0700
202104374,BISCAY GREEN BR,1.0800,0.8500,-0.2300
202104375,DIRECTORIE BLUE BR,2.4000,1.8700,-0.5300
202104376,CHEESE CREAM BR,0.7700,0.8200,0.0500
202104377,IVORY BR,1.3000,1.4600,0.1600
202104379,CAMEL BEIGE,1.3900,1.4300,0.0400
202104382,MALIBU BLUE BR,1.0000,0.9500,-0.0500
202104384,IBIZA BROWN,4.1800,4.2000,0.0200
202104385,ROSE BROWN,2.3000,3.6400,1.3400
202104395,LITHIUM GY,1.7300,1.8300,0.1000
202104396,KURUMI GY,1.5500,1.5800,0.0300
202104399,DISTAN GY,1.5300,1.6700,0.1400
202104400,COVER BEIGE BR,1.6500,1.6700,0.0200
202104402,PERTA BL,2.1400,2.0900,-0.0500
202104403,RONDO BG,1.7200,1.7800,0.0600
202104405,EINS GY,1.5000,1.7300,0.2300
202104409,FOSCO BROWN BR,2.8000,2.9000,0.1000
202104412,JINKO GN,4.0000,4.1000,0.1000
202104414,MOST RED BR,1.8000,1.9700,0.1700
202104419,VIOLET BR,1.7200,1.7700,0.0500
202104420,LORRIS GY BR,1.8000,1.7200,-0.0800
202104426,RUBY MAROON,2.3000,2.3800,0.0800
202104429,CHARLA BL,1.3500,1.4000,0.0500
202104431,CLEAR BL,1.9500,2.1200,0.1700
202104433,CEMENT GREY,1.4800,1.4500,-0.0300
202104435,FUMO,2.7000,2.8600,0.1600
202104436,MILIM BL,3.6000,3.6700,0.0700
202104440,KUCAI GN,1.9500,1.9700,0.0200
202104443,PERIDOT GY,1.0000,0.9000,-0.1000
202104444,TAKO GY,1.0000,0.8000,-0.2000
202104451,APUS GN BR,2.5000,2.2600,-0.2400
202104452,ARMOR GY BR,1.8000,2.1000,0.3000
202104454,BLUE BIRU,2.2500,2.3500,0.1000
202104457,CARD GY BR,1.5000,1.8500,0.3500
202104458,CARYMA GY BR,1.5000,1.5100,0.0100
202104459,DAMAI WT,2.0000,1.9000,-0.1000
202104471,DARK WINE BR,2.3400,2.7000,0.3600
202104475,ESDE BG,1.5000,1.5500,0.0500
202104476,FALA BG BR,1.5000,1.7500,0.2500
202104477,GIVE BG,2.0000,2.0600,0.0600
202104479,GRAPHITE GY,1.5000,1.4500,-0.0500
202104480,GRAVEL BG,2.0000,1.6000,-0.4000
202104481,HAIR GY BR,2.0000,2.2500,0.2500
202104482,HAMMY GN BR,1.0000,1.2500,0.2500
202104484,KATIE GY BR,1.5000,1.6000,0.1000
202104485,LADYBA BG,2.5000,2.5400,0.0400
202104488,LES BL,3.5000,3.2000,-0.3000
202104489,MASK BL,2.9700,3.0000,0.0300
202104491,MODISTY PK BR,1.5000,1.6400,0.1400
202104495,PARE GN BR,1.0000,1.3500,0.3500
202104499,PRISMA BG BR,1.5000,2.1000,0.6000
202104501,PRONTO GY,1.5000,1.7500,0.2500
202104504,RIAU COFFE BR,2.0000,2.2600,0.2600
202104505,SAWO BN BR,1.5000,1.4400,-0.0600
202104508,SINTYA GY,1.8000,1.7900,-0.0100
202104509,SLIDE GN BR,1.5000,1.6600,0.1600
202104510,SONAR BG,1.8000,1.3800,-0.4200
202104511,SONIC BL,2.0000,1.8400,-0.1600
202104512,SUNNY YELLOW,1.5000,1.3500,-0.1500
202104513,SURF BLUE,2.1000,2.1600,0.0600
202104514,TEKO BL,3.5000,3.1000,-0.4000
202104515,VAN BL,4.0000,4.0700,0.0700
202104518,STEEL GREY BR,2.3500,2.3200,-0.0300
202104520,PEEL ORANGE BR,1.5000,1.3400,-0.1600
202104522,BLACK BR,3.5700,5.0000,1.4300
202106525,PACU BG,1.5000,1.7300,0.2300
202108527,FLABBY GY,1.5000,1.8500,0.3500
202108528,WEISS BN,2.0000,2.2800,0.2800
202108532,WILD VIOLET BR,1.6000,1.5400,-0.0600
202108533,GRISAILE BL BR,3.0000,4.0000,1.0000
202108539,JURA BL BR,2.2000,2.1000,-0.1000
202108540,RIVER BLUE BR,2.6000,2.3500,-0.2500
202108545,TWEET GY,2.0000,2.3000,0.3000
202108546,HERON BL,4.5000,4.0000,-0.5000
202108547,ELVIS YW,4.0000,2.0000,-2.0000
202108548,FORZA BL,2.0000,2.5500,0.5500
202108553,VERDE GN,2.0000,1.9000,-0.1000
202108554,PITA PK,2.0000,1.5200,-0.4800
202108555,NOBEL PK,2.0000,2.1200,0.1200
202108556,REZA BL,1.5000,1.9500,0.4500
202108557,SPONGE BN,2.0000,1.9500,-0.0500
202108560,CAFÉ ITALIA BH 0395/2,3.0000,3.1500,0.1500
202108561,CAMELL BH 6222/2,1.5000,1.6700,0.1700
202108563,OMNI BL,3.0000,3.0900,0.0900
202108566,BEIGE_MD,1.4800,1.5900,0.1100
202108567,JET BLACK BR,3.5700,4.3400,0.7700
202109573,HARU GY,2.0000,2.1000,0.1000
202109579,TERANG YW,2.0000,2.2800,0.2800
202109580,TENSAI GY BR,2.0000,2.1800,0.1800
202109581,DARK VERMELHO,1.8000,1.7100,-0.0900
202109582,KEY GY,2.0000,2.0400,0.0400
202109583,COFFEE,2.9000,2.1600,-0.7400
202109584,DELMORA BG BR,1.5000,1.4200,-0.0800
202109585,ROJO,2.0000,2.3200,0.3200
202109587,NUDE,1.0000,1.2000,0.2000
202109588,GORDIN BN BR,2.0000,2.4300,0.4300
202109589,WHITE PLUS BR,1.1600,1.0000,-0.1600
202110592,FUEGO BL,2.0000,2.0100,0.0100
202110593,DARK VERMELHO BR,1.8000,1.7000,-0.1000
202110594,PANCY BLUE,2.1000,2.9800,0.8800
202110595,PASCAL GY,2.0000,2.1400,0.1400
202110596,CLASSIC BL BR,2.6500,3.7200,1.0700
202110597,BISQUET MH 6057/2,1.5000,1.7000,0.2000
202110598,SEXY PL,1.5500,1.4800,-0.0700
202110604,ARSENE RD,2.3000,2.2900,-0.0100
202110607,DRYAD GN,1.5000,1.5200,0.0200
202110608,AMARILLO NEON,2.0000,2.4000,0.4000
202110609,SUBARU YW,2.0000,1.1200,-0.8800
202110611,ESSENCE CM BR,1.5000,1.8300,0.3300
202110613,BEESWAX GD BR,1.5000,1.5400,0.0400
202110615,MALDIVES BL BR,1.5000,1.8000,0.3000
202110617,RUNNER GY BR,1.5000,1.3500,-0.1500
202110618,DREAM BL,1.5000,1.7300,0.2300
202110619,SAINT BLUE,2.0000,2.2000,0.2000
202110623,PEEKA BN BR,1.5000,1.7900,0.2900
202110624,STYLISH BN BR,2.0000,2.1000,0.1000
202110625,SKYLINE GY BR,1.5000,1.5500,0.0500
202110626,FITNESS GY BR,2.0000,1.9500,-0.0500
202111628,JOSH BG BR,1.0000,0.9000,-0.1000
202111629,BEAN CREAM BR,1.6000,1.6500,0.0500
202111632,DIAN WT,1.0000,1.0500,0.0500
202111633,TRAVEL BL,2.0000,2.2100,0.2100
202111636,ROCK GN BR,2.0000,2.0500,0.0500
202111646,FIESTA OG,1.8000,1.7500,-0.0500
202111648,HEAVEN BL BR,3.2800,3.2000,-0.0800
202111649,HEAVEN BLUE,3.2800,2.7100,-0.5700
202111650,MILLO BG,2.0000,2.0500,0.0500
202111652,NEBO BL,4.0000,3.1000,-0.9000
202111653,OSCAR YW,1.5000,1.6000,0.1000
202111654,STARK RD,1.5000,1.6000,0.1000
202111657,LIFE CM BR,1.5000,1.5400,0.0400
202111661,BUTTER CREAM,1.5000,1.6300,0.1300
202111662,ALPAKA CM BR,1.5000,2.0000,0.5000
202111663,FRESH BL BR,1.5000,1.4500,-0.0500
202111664,PUMPING GY BR,1.5000,1.6500,0.1500
202112670,BULAN BN BR,1.9000,1.7900,-0.1100
202112671,SAINT BLUE,2.0000,2.2000,0.2000
202112676,RETRO BL,2.1700,1.9500,-0.2200
202201681,BEIGE BR,1.4800,1.7600,0.2800
202201687,MAUVE PURPLE BR,1.2500,1.2300,-0.0200
202201688,VICI RD,4.0000,3.9000,-0.1000
202201689,BUTTER CREAM BR,1.5000,2.3700,0.8700
202201690,DIPAN BN,2.0000,1.5400,-0.4600
202201692,SPONGE BN,2.0000,1.6800,-0.3200
202201695,PROJECT BN BR,2.1500,2.2500,0.1000
202201705,SERIES GY BR,1.5800,1.8800,0.3000
202201706,TURMERIC YW,3.0000,2.7600,-0.2400
