group_head_period_id,period,group_head_id,flag_valuation,flag_marketing,flag_simulation,init_val_valuation,init_val_marketing,init_val_simulation,updated_at,updated_by
abfa8c65-46ba-4315-b95b-d8e11d0f0ea8,202608,24e707e5-af78-4ee5-8d23-95598e4af632,CONS,CONS,CONS,,,,,
4b885bc5-70c0-4b14-b2bc-2fa646dc25b2,202608,25990272-c0b1-4ea5-bb2d-c01b99de5b35,CONS,CONS,CONS,,,,,
de523eb0-05cf-4902-bd22-3049009c7025,202608,25a6e6e3-b62f-4a39-b0c8-3de347ecc89e,CONS,CONS,CONS,,,,,
7d574487-4f7c-4ba3-a296-d6cd18ec7747,202608,25c2efeb-fd3e-4fb8-83d6-8f7e51c47f71,CONS,CONS,CONS,,,,,
237d9499-1076-4080-837b-8632f0065af0,202608,25e9bf9c-196a-48e9-aba3-a04f7e74e242,CONS,CONS,CONS,,,,,
00223197-c96f-40de-87db-fc38a7f8944c,202608,270e8da5-ab77-4925-87a6-0bf7647c57e6,CONS,CONS,CONS,,,,,
e6a89416-2065-48bc-8219-d719da356b92,202608,27961b3f-b7cb-4543-bcda-c05e0114fdcb,CONS,CONS,CONS,,,,,
93f1acdb-87cd-4887-a3c6-f19b5d9fc077,202608,27fc4439-dca4-4b90-9500-919dfa7a41fe,CONS,CONS,CONS,,,,,
77c63826-f223-4a0d-b090-84a323171b20,202608,2800af77-562b-41cb-b11d-33272ac032ba,CONS,CONS,CONS,,,,,
9d589d35-54e7-4ca1-a04a-8b775df0548d,202608,2a7270e6-5e24-4cad-88b0-1f7a895ea4d5,CONS,CONS,CONS,,,,,
09068046-318e-43b2-ac1d-489c50e21c66,202608,2aacf841-996a-4e5b-af55-772f8232678a,CONS,CONS,CONS,,,,,
089afb1c-5aa5-4456-8ac8-443afaa1a07e,202608,2bd22794-903d-48c6-9230-8118fcc3293f,CONS,CONS,CONS,,,,,
9278f9fd-5352-4c2a-abd4-905e9d694c21,202608,2c420f79-5b9b-45ac-888c-8305d77a7b12,CONS,CONS,CONS,,,,,
8d701925-13ba-46fb-b1c5-50403b1f329f,202608,2c48dd7e-fa50-4f7f-b12e-eb3a0bc7bd24,CONS,CONS,CONS,,,,,
9a199e64-50f5-4685-896b-fd6632173bfd,202608,2c6eb01e-b2d4-4c57-999f-c6a7159fedf0,CONS,CONS,CONS,,,,,
b3aa0dae-72a3-43af-a0e1-9efb413d591f,202608,2c7027f9-f795-423d-b327-db7d332c7556,CONS,CONS,CONS,,,,,
ae1321d2-114a-4ae2-95f7-1fb8543802e3,202608,2d6a5b56-b5d1-40b1-8189-5fed212752f8,CONS,CONS,CONS,,,,,
1791c7f0-4099-4217-88fc-e79338e01a50,202608,2fc8f5aa-4313-4c5d-8e5f-b1254d97addb,CONS,CONS,CONS,,,,,
dc791557-319d-4f70-8e9f-0537b274dd7d,202608,3001c300-0c8f-4b23-aa24-585b93762b43,CONS,CONS,CONS,,,,,
9bedc69f-5735-4380-b917-69d61fa139d1,202608,31415341-6703-4c9a-8d49-5b08e33179bf,CONS,CONS,CONS,,,,,
64205774-8df7-4002-9139-98b3b0d04455,202608,319620c1-a2ec-4597-a455-f6444af50cdf,CONS,CONS,CONS,,,,,
182180af-bdfd-4951-a6b5-f030b453f470,202608,3375d146-c077-45b4-ae69-4eb903d82563,CONS,CONS,CONS,,,,,
57a14e46-5c32-407c-89b4-27ad20cab820,202608,344ddc84-f293-4b8b-9298-265f4a0405b5,CONS,CONS,CONS,,,,,
7d4a0650-8238-49e7-8c74-bcee48ee0bdb,202608,34aab5a7-67e1-48c0-8e96-6805e9677968,CONS,CONS,CONS,,,,,
8b212456-fc9a-43a0-91bc-019e7325afd1,202608,354fbf7a-e9c1-4dc6-8f99-c7fae7a05ebc,CONS,CONS,CONS,,,,,
9a90b14d-951e-42b6-bbbf-03ce6c6d9d91,202608,35facaa2-1a8f-41ff-85bb-11b501b576fb,CONS,CONS,CONS,,,,,
09d2460d-1877-41d4-8fba-4f7eca882c4b,202608,3627007d-fda3-4905-8582-b32da816a11b,CONS,CONS,CONS,,,,,
d8a2219d-8232-4f87-a9b1-86d2204aa40c,202608,36393131-40ce-4776-980e-833b1b38408f,CONS,CONS,CONS,,,,,
878377c3-3d0e-4bc6-9da2-42c00c0f1122,202608,36e7e602-d03d-4bf8-8621-a38a9935f584,CONS,CONS,CONS,,,,,
bc67c5fc-4782-4354-a964-6afb0307f80c,202608,380963b6-14a4-4b84-a406-da4f669295bc,CONS,CONS,CONS,,,,,
612e9c1b-b52f-4fb0-91b6-e67a95b6e205,202608,387a3773-d793-494c-b656-709e7bbfc438,CONS,CONS,CONS,,,,,
0bbe3ea3-e122-4552-9aaf-8bf6ae54bb3a,202608,388a3d98-3ed1-4717-8c10-414cd2b31fd4,CONS,CONS,CONS,,,,,
d29764e5-f009-4147-9029-4dd4c8e82a61,202608,3983e68e-2ed5-4972-b567-66e55d0dc220,CONS,CONS,CONS,,,,,
3aadaff1-33de-4dcb-9a26-b8dfc17fcb05,202608,3bc87866-1e32-4a04-afcb-2092e5ad0f00,CONS,CONS,CONS,,,,,
ea2911ba-ffb5-40cf-9aae-ffd1088197b4,202608,3ca1666e-a562-4f5a-932e-c992e351978d,CONS,CONS,CONS,,,,,
e5e640d2-1e73-4caf-a05e-fe5c00c1a2ea,202608,3d4951df-0f4a-41ea-a9e5-07a5000d7a28,CONS,CONS,CONS,,,,,
68e444a7-1251-4cbe-9ca0-b96fa4830f72,202608,3d7fa983-eb80-40da-86a3-95757fa9486c,CONS,CONS,CONS,,,,,
1f8a2af9-1e44-4107-b594-df8c488bfce0,202608,3d8a1935-ea74-41d3-98a5-2e069c533b47,CONS,CONS,CONS,,,,,
bf3181f4-8d58-46e1-b902-efe4a23b70df,202608,3da682de-301a-42ba-870d-e45b9737ed1a,CONS,CONS,CONS,,,,,
22aa9825-2727-456c-8e84-6e26a6316c0f,202608,3e1a52a3-d016-4576-8cdd-8db9b081ba1a,CONS,CONS,CONS,,,,,
0de5a4fd-7cb3-48a3-a558-fe1cd7cb35cb,202608,3f39b8db-c5ba-443a-8836-b6291df7344e,CONS,CONS,CONS,,,,,
7ba96a09-d373-46ba-b1ed-b37287d77e89,202608,3fa2f697-3bbd-44f1-bf70-06e08df613bd,CONS,CONS,CONS,,,,,
